"ProNumeroOrdine"|"ProNumeroProtocollo"|"ProDataImport"|"ProRigaOrdine"|"ProArtCodice"|"ProArtDescrizione"|"ProArtQta"
"#34135A"|"33668317"|"20170807"|"2"|"RB3A019671"|"BUBBLEGUM STUFF-14052-Bubblegum Stuff Babychino Sippy Cup"|"0000000001"
"#34135A"|"33668317"|"20170807"|"3"|"RB20006J"|"FCTRY-pcsta01-Ciuccio Gentleman"|"0000000001"
"#34135A"|"33668317"|"20170807"|"4"|"RB3A019458"|"FUNKY BOX-8718347900175-Scatola Piccola Grigio Chiaro con Stella Bianca"|"0000000001"
"#34135A"|"33668317"|"20170807"|"5"|"RB3A020920"|"OLI AND CAROL-ANA-S-ANA LA BANANA"|"0000000001"
"#34135A"|"33668317"|"20170807"|"6"|"RB3A021135"|"BUGGYGEAR-BHRTHKRED-HEART SHAPED STROLLER HOOK - SILVER/RED"|"0000000001"
"#34135A"|"33668317"|"20170807"|"7"|"RB3A020978"|"BUGGYGEAR-BGRPYMNKY-SMART PHONE HOLDER - MONKEY"|"0000000001"
"#34542"|"33543317"|"20170807"|"1"|"RB3A013443"|"ELODIE DETAILS-103667-Trousse ZipeGo DOT"|"0000000001"
"#34542"|"33543317"|"20170807"|"10"|"RB3A020797"|"STEPHEN JOSEPH-SJ101125-Borraccia Morbida Farfalla"|"0000000001"
"#34542"|"33543317"|"20170807"|"11"|"RB3A020801"|"STEPHEN JOSEPH-SJ101176A-Borraccia Morbida Gufetto"|"0000000001"
"#34542"|"33543317"|"20170807"|"12"|"RB3A017868"|"TYRRELL KATZ-81CS4-Princess Cutlery set"|"0000000003"
"#34542"|"33543317"|"20170807"|"13"|"RB3A020891"|"KG DESIGN-100104-Set 2 Portagelato in Silicone Verde Fucsia"|"0000000004"
"#34542"|"33543317"|"20170807"|"14"|"RB3A015329"|"SEBRA-4010201-Set 3 valigette nella fattoria bambina"|"0000000001"
"#34542"|"33543317"|"20170807"|"15"|"RB20012R"|"Duux-DUBP01P-Proiettore per Bambini Rosa"|"0000000001"
"#34542"|"33543317"|"20170807"|"16"|"RB3A019659"|"FUNKIT WORLD-SBB-61-Funkit World Borsa da Spiaggia in Silicone Rosa"|"0000000001"
