"RicNumero"|"RicProtocollo"|"RicData"|"RicDataConsegna"|"RicOrdineNumero"|"RicOrdineData"|"RicCodiceFornitore"|"RicRagSocFornitore"|"RicAnaArtCodice"|"RicAnaArtDescrizione"|"RicQuantitaOrdinata"|"RicQuantitaRicevuta"
"PO32708"|"3744217"|"20170728"|"20170728"|"PO32708"|"20170719"|"FO20170719_PO32708"|"NUM NUM"|"RB3A018674"|"NUM NUM-NUM100-Num Num Set 2 Cucchiai"|"0000000020"|"0000000020"
"PO32708"|"3744217"|"20170728"|"20170728"|"PO32708"|"20170719"|"FO20170719_PO32708"|"NUM NUM"|"RB3A018675"|"NUM NUM-NUM300-Num Num Beginner Bowl"|"0000000010"|"0000000010"
"PO32712"|"3746217"|"20170728"|"20170728"|"PO32712"|"20170719"|"FO20170719_PO32712"|"Baby Elephant Ears"|"RB3A019593"|"BABY ELEPHANT EARS-1039-Baby Elephant Ears Cuscino Ergonomico con Grechine"|"0000000004"|"0000000004"
"PO32712"|"3746217"|"20170728"|"20170728"|"PO32712"|"20170719"|"FO20170719_PO32712"|"Baby Elephant Ears"|"RB3A019595"|"BABY ELEPHANT EARS-1026-Baby Elephant Ears Cuscino Ergonomico con Macchinine"|"0000000004"|"0000000004"
"PO32712"|"3746217"|"20170728"|"20170728"|"PO32712"|"20170719"|"FO20170719_PO32712"|"Baby Elephant Ears"|"RB3A019601"|"BABY ELEPHANT EARS-1038-Baby Elephant Ears Cuscino Ergonomico Amici del Bosco"|"0000000004"|"0000000004"
"PO32712"|"3746217"|"20170728"|"20170728"|"PO32712"|"20170719"|"FO20170719_PO32712"|"Baby Elephant Ears"|"RB3A019602"|"BABY ELEPHANT EARS-7005-Baby Elephant Ears Cuscino Ergonomico Luxe Rosa Pastello"|"0000000004"|"0000000004"
"PO32712"|"3746217"|"20170728"|"20170728"|"PO32712"|"20170719"|"FO20170719_PO32712"|"Baby Elephant Ears"|"RB3A019604"|"BABY ELEPHANT EARS-7006-Baby Elephant Ears Cuscino Ergonomico Luxe Azzurro"|"0000000004"|"0000000004"
"PO32713"|"3745217"|"20170728"|"20170728"|"PO32713"|"20170719"|"FO20170719_PO32713"|"Buggygear"|"RB3A020976"|"BUGGYGEAR-BSUNCPLAT-STROLLER SUNVISOR UPF50 - SILVER/PLATINUM"|"0000000012"|"0000000012"
"PO32713"|"3745217"|"20170728"|"20170728"|"PO32713"|"20170719"|"FO20170719_PO32713"|"Buggygear"|"RB3A020978"|"BUGGYGEAR-BGRPYMNKY-SMART PHONE HOLDER - MONKEY"|"0000000016"|"0000000016"
"PO32713"|"3745217"|"20170728"|"20170728"|"PO32713"|"20170719"|"FO20170719_PO32713"|"Buggygear"|"RB3A021135"|"BUGGYGEAR-BHRTHKRED-HEART SHAPED STROLLER HOOK - SILVER/RED"|"0000000012"|"0000000012"
"PO32722"|"3753217"|"20170728"|"20170728"|"PO32722"|"20170720"|"FO20170720_PO32722"|"elodie details"|"RB2000PB"|"ELODIE DETAILS-103816-Passeggino Bianco e Nero Graphic Grace"|"0000000001"|"0000000001"
"PO32722"|"3753217"|"20170728"|"20170728"|"PO32722"|"20170720"|"FO20170720_PO32722"|"elodie details"|"RB3A009390"|"ELODIE DETAILS-103134-Cordoncino Ciuccio - Apple of my eye"|"0000000010"|"0000000010"
"PO32722"|"3753217"|"20170728"|"20170728"|"PO32722"|"20170720"|"FO20170720_PO32722"|"elodie details"|"RB3A010120"|"ELODIE DETAILS-103770-Materassino da Passeggino DOT"|"0000000003"|"0000000003"
"PO32722"|"3753217"|"20170728"|"20170728"|"PO32722"|"20170720"|"FO20170720_PO32722"|"elodie details"|"RB3A013420"|"ELODIE DETAILS-103888-Zaino Powder Pink"|"0000000002"|"0000000002"
"PO32722"|"3753217"|"20170728"|"20170728"|"PO32722"|"20170720"|"FO20170720_PO32722"|"elodie details"|"RB3A013421"|"ELODIE DETAILS-103889-Zaino Pretty Petrol"|"0000000002"|"0000000002"
"PO32722"|"3753217"|"20170728"|"20170728"|"PO32722"|"20170720"|"FO20170720_PO32722"|"elodie details"|"RB3A018199"|"ELODIE DETAILS-103795-ZANZARIERA PER PASSEGGINO BLACK EDITION"|"0000000004"|"0000000004"
"PO32722"|"3753217"|"20170728"|"20170728"|"PO32722"|"20170720"|"FO20170720_PO32722"|"elodie details"|"RB3A018200"|"ELODIE DETAILS-103796-ZANZARIERA PER PASSEGGINO ZEBRA SUNSHINE"|"0000000004"|"0000000004"
"PO32722"|"3753217"|"20170728"|"20170728"|"PO32722"|"20170720"|"FO20170720_PO32722"|"elodie details"|"RB3A018201"|"ELODIE DETAILS-103797-ZANZARIERA PER PASSEGGINO POIS"|"0000000004"|"0000000004"
"PO32724"|"3754217"|"20170728"|"20170728"|"PO32724"|"20170720"|"FO20170720_PO32724"|"ChildHome"|"RB3A009984"|"CHILDHOME-CCCB60PW-Cesto Contenitore Stella Rosa 60x32x32"|"0000000001"|"0000000001"
"PO32724"|"3754217"|"20170728"|"20170728"|"PO32724"|"20170720"|"FO20170720_PO32724"|"ChildHome"|"RB3A009988"|"CHILDHOME-CCCB20PW-Cesto Contenitore Stella Rosa 32x20x20"|"0000000001"|"0000000001"
"PO32724"|"3754217"|"20170728"|"20170728"|"PO32724"|"20170720"|"FO20170720_PO32724"|"ChildHome"|"RB3A009990"|"CHILDHOME-CCCB30DB-Cesto Contenitore Stella Blu scuro 20x40x30"|"0000000002"|"0000000002"
"PO32724"|"3754217"|"20170728"|"20170728"|"PO32724"|"20170720"|"FO20170720_PO32724"|"ChildHome"|"RB3A010021"|"CHILDHOME-CCFNBPG-Zaino Fasciatoio Grigio in Feltro"|"0000000001"|"0000000001"
"PO32724"|"3754217"|"20170728"|"20170728"|"PO32724"|"20170720"|"FO20170720_PO32724"|"ChildHome"|"RB3A010041"|"CHILDHOME-CWRSP-Dondolo a forma di Vespa Rosa"|"0000000001"|"0000000001"
"PO32724"|"3754217"|"20170728"|"20170728"|"PO32724"|"20170720"|"FO20170720_PO32724"|"ChildHome"|"RB3A010155"|"CHILDHOME-CCCOTF-Coprifasciatoio Fucsia"|"0000000001"|"0000000001"
"PO32724"|"3754217"|"20170728"|"20170728"|"PO32724"|"20170720"|"FO20170720_PO32724"|"ChildHome"|"RB3A010837"|"CHILDHOME-CHSBG-Set Pappa Verde e Bianco"|"0000000001"|"0000000001"
"PO32724"|"3754217"|"20170728"|"20170728"|"PO32724"|"20170720"|"FO20170720_PO32724"|"ChildHome"|"RB3A010843"|"CHILDHOME-CHWPG-Set Pappa con piatto riscaldato Verde e Bianco"|"0000000001"|"0000000001"
"PO32724"|"3754217"|"20170728"|"20170728"|"PO32724"|"20170720"|"FO20170720_PO32724"|"ChildHome"|"RB3A010845"|"CHILDHOME-CHFDBP-Kit Regalo Diffusore di fragranza aroma Fiori di campo con Coniglietto"|"0000000001"|"0000000001"
"PO32724"|"3754217"|"20170728"|"20170728"|"PO32724"|"20170720"|"FO20170720_PO32724"|"ChildHome"|"RB3A010847"|"CHILDHOME-CHFDPG-Diffusore di fragranza aroma Fiori di Campo"|"0000000001"|"0000000001"
"PO32724"|"3754217"|"20170728"|"20170728"|"PO32724"|"20170720"|"FO20170720_PO32724"|"ChildHome"|"RB3A018221"|"CHILDHOME-CHBCFT58-CESTO CONTENITORE MY FIRST TOYS"|"0000000003"|"0000000003"
"PO32724"|"3754217"|"20170728"|"20170728"|"PO32724"|"20170720"|"FO20170720_PO32724"|"ChildHome"|"RB3A018225"|"CHILDHOME-COATHW-APPENDIABITI CLOUD WHITE"|"0000000001"|"0000000001"
"PO32724"|"3754217"|"20170728"|"20170728"|"PO32724"|"20170720"|"FO20170720_PO32724"|"ChildHome"|"RB3A021140"|"CHILDHOME-CHSBCPW-Set 4 Paraspigoli Bianco"|"0000000005"|"0000000005"
"PO32724"|"3754217"|"20170728"|"20170728"|"PO32724"|"20170720"|"FO20170720_PO32724"|"ChildHome"|"RB3A021141"|"CHILDHOME-CHSBMLW-Chiudi Ante Bianco"|"0000000001"|"0000000001"
"PO32724"|"3754217"|"20170728"|"20170728"|"PO32724"|"20170720"|"FO20170720_PO32724"|"ChildHome"|"RB3A021142"|"CHILDHOME-CHSBDLW-Set 3 Chiudi Ante con Kit Intallazione"|"0000000007"|"0000000007"
"PO32724"|"3754217"|"20170728"|"20170728"|"PO32724"|"20170720"|"FO20170720_PO32724"|"ChildHome"|"RB3A021143"|"CHILDHOME-CHSBFW-Set 2 Fermaporta Bianco"|"0000000003"|"0000000003"
"PO32724"|"3754217"|"20170728"|"20170728"|"PO32724"|"20170720"|"FO20170720_PO32724"|"ChildHome"|"RB3A021144"|"CHILDHOME-CHSCQ-Barriera Copri Fornelli"|"0000000001"|"0000000001"
"PO32727"|"3756217"|"20170728"|"20170728"|"PO32727"|"20170721"|"FO20170721_PO32727"|"Kizingo"|"RB3A021083"|"KIZINGO-PR-KZ-005-Cucchiaio bambini Rosa"|"0000000002"|"0000000002"
"PO32727"|"3756217"|"20170728"|"20170728"|"PO32727"|"20170721"|"FO20170721_PO32727"|"Kizingo"|"RB3A021084"|"KIZINGO-PR-KZ-008-Cucchiaio bambini Azzurro"|"0000000008"|"0000000008"
"PO32730"|"3750217"|"20170728"|"20170728"|"PO32730"|"20170721"|"FO20170721_PO32730"|"Boon"|"RB3A017494"|"BOON-B11005-Scolaposate e Scola Biberon Slim"|"0000000006"|"0000000008"
"PO32730"|"3750217"|"20170728"|"20170728"|"PO32730"|"20170721"|"FO20170721_PO32730"|"Boon"|"RB3A017495"|"BOON-B373-Scolaposate e Scola Biberon Quadrato"|"0000000002"|"0000000002"
"PO32730"|"3750217"|"20170728"|"20170728"|"PO32730"|"20170721"|"FO20170721_PO32730"|"Boon"|"RB3A020907"|"BOON-B277-PORTASNACK PALLA CONTENITOR"|"0000000002"|"0000000002"
